SubjectID,VideoID,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,predefinedlabel,user-definedlabel
3,2,6.22E+01,5.13E+01,3.64E+01,6.56E+05,1.33E+05,2.75E+04,1.99E+04,1.54E+04,1.43E+04,7.59E+03,4.70E+03,0.00E+00,0.00E+00
3,3,0.00E+00,0.00E+00,4.42E+01,6.80E+05,1.32E+05,4.29E+04,2.35E+04,1.45E+04,5.13E+04,1.39E+04,1.89E+03,0.00E+00,0.00E+00
3,4,3.44E+01,5.26E+01,3.52E+01,9.56E+05,3.25E+05,7.36E+04,4.46E+04,3.33E+04,2.49E+04,1.34E+04,7.60E+03,0.00E+00,1.00E+00
3,5,4.75E+01,5.23E+01,3.04E+01,7.26E+05,1.92E+05,3.50E+04,2.24E+04,2.14E+04,1.44E+04,8.08E+03,5.14E+03,1.00E+00,0.00E+00
3,6,4.46E+01,4.81E+01,3.87E+01,9.08E+05,2.82E+05,5.20E+04,3.89E+04,2.54E+04,2.10E+04,1.11E+04,6.50E+03,1.00E+00,1.00E+00
3,7,4.66E+01,4.50E+01,2.05E+01,8.43E+05,2.35E+05,5.28E+04,2.54E+04,2.32E+04,1.64E+04,9.44E+03,5.88E+03,1.00E+00,1.00E+00
3,8,5.09E+01,5.93E+01,3.57E+01,7.76E+05,1.82E+05,4.06E+04,2.61E+04,2.03E+04,1.49E+04,8.71E+03,6.24E+03,1.00E+00,1.00E+00
3,9,2.58E+01,4.91E+01,4.45E+01,9.07E+05,3.36E+05,9.83E+04,6.21E+04,3.95E+04,3.11E+04,1.69E+04,6.78E+03,1.00E+00,1.00E+00
4,0,5.44E+01,5.17E+01,6.02E+01,2.32E+05,7.88E+04,1.73E+04,1.52E+04,2.03E+04,1.38E+04,1.22E+04,9.17E+03,0.00E+00,0.00E+00
4,1,4.26E+01,4.31E+01,4.46E+01,4.23E+05,1.35E+05,3.19E+04,2.45E+04,1.96E+04,2.10E+04,1.74E+04,1.41E+04,0.00E+00,1.00E+00
4,2,4.74E+01,6.25E+01,3.10E+01,4.38E+05,1.29E+05,2.83E+04,1.87E+04,1.98E+04,1.35E+04,9.84E+03,8.48E+03,0.00E+00,1.00E+00
4,3,4.01E+01,4.36E+01,2.12E+01,4.70E+05,1.26E+05,2.56E+04,1.89E+04,1.79E+04,1.68E+04,1.16E+04,8.99E+03,0.00E+00,1.00E+00
4,4,5.00E+01,5.76E+01,4.02E+01,4.26E+05,1.25E+05,2.80E+04,2.61E+04,1.79E+04,1.48E+04,1.14E+04,9.56E+03,0.00E+00,0.00E+00
4,5,5.85E+01,7.00E+01,2.31E+01,2.47E+05,8.83E+04,2.08E+04,1.81E+04,1.48E+04,1.58E+04,9.59E+03,7.07E+03,1.00E+00,0.00E+00
4,6,3.85E+01,4.57E+01,5.39E+01,3.41E+05,9.04E+04,1.91E+04,1.64E+04,1.39E+04,1.23E+04,7.84E+03,6.49E+03,1.00E+00,1.00E+00
4,7,3.65E+01,4.93E+01,1.94E+01,4.46E+05,1.25E+05,2.72E+04,2.40E+04,2.10E+04,1.71E+04,1.53E+04,1.07E+04,1.00E+00,1.00E+00
4,8,3.66E+01,5.07E+01,3.96E+01,3.63E+05,1.10E+05,2.49E+04,2.15E+04,1.75E+04,1.63E+04,1.04E+04,7.86E+03,1.00E+00,1.00E+00
4,9,4.30E+01,5.52E+01,4.70E+01,2.63E+05,8.37E+04,2.65E+04,1.40E+04,1.06E+04,1.00E+04,6.13E+03,5.26E+03,1.00E+00,0.00E+00
5,0,4.89E+01,4.95E+01,3.83E+01,4.73E+05,1.70E+05,3.18E+04,2.90E+04,1.38E+04,2.17E+04,1.36E+04,2.12E+03,0.00E+00,0.00E+00
5,1,5.18E+01,4.89E+01,3.36E+01,8.60E+05,2.53E+05,5.40E+04,3.43E+04,3.42E+04,2.36E+04,1.22E+04,4.89E+03,0.00E+00,1.00E+00
5,2,4.82E+01,5.99E+01,3.19E+01,8.47E+05,2.77E+05,6.90E+04,4.82E+04,3.33E+04,2.87E+04,1.56E+04,5.81E+03,0.00E+00,1.00E+00
5,3,3.78E+01,5.29E+01,3.47E+01,9.65E+05,2.84E+05,5.65E+04,2.82E+04,2.42E+04,1.72E+04,8.63E+03,5.50E+03,0.00E+00,1.00E+00
5,4,4.79E+01,5.66E+01,4.45E+01,5.77E+05,1.72E+05,5.41E+04,3.50E+04,1.74E+04,1.77E+04,1.24E+04,2.62E+03,0.00E+00,0.00E+00
5,5,4.68E+01,5.57E+01,2.86E+01,8.37E+05,3.24E+05,8.52E+04,5.66E+04,4.12E+04,3.11E+04,1.70E+04,5.35E+03,1.00E+00,1.00E+00
5,6,4.35E+01,6.00E+01,3.50E+01,9.58E+05,3.58E+05,1.02E+05,6.49E+04,4.24E+04,3.48E+04,2.10E+04,7.83E+03,1.00E+00,1.00E+00
5,7,4.99E+01,5.22E+01,3.05E+01,6.37E+05,1.53E+05,3.73E+04,3.20E+04,1.41E+04,2.06E+04,1.24E+04,2.52E+03,1.00E+00,0.00E+00
5,8,4.30E+01,5.08E+01,2.72E+01,8.73E+05,2.63E+05,5.68E+04,3.43E+04,3.25E+04,2.13E+04,1.10E+04,4.62E+03,1.00E+00,1.00E+00
5,9,4.71E+01,5.68E+01,4.08E+01,5.00E+05,1.65E+05,3.95E+04,2.92E+04,1.57E+04,2.14E+04,1.29E+04,2.24E+03,1.00E+00,0.00E+00
7,0,4.64E+01,4.36E+01,3.17E+01,5.99E+05,1.27E+05,2.73E+04,1.98E+04,1.91E+04,3.45E+04,2.61E+04,1.86E+04,0.00E+00,1.00E+00
7,1,4.32E+01,5.20E+01,4.09E+01,8.26E+05,1.72E+05,3.88E+04,2.43E+04,1.70E+04,2.51E+04,2.23E+04,1.60E+04,0.00E+00,1.00E+00
7,2,5.61E+01,4.88E+01,3.20E+01,2.40E+05,6.65E+04,1.55E+04,1.48E+04,1.77E+04,2.40E+04,1.63E+04,1.19E+04,0.00E+00,0.00E+00
7,3,2.05E+01,5.80E+01,4.27E+01,9.12E+05,2.36E+05,5.50E+04,3.04E+04,2.15E+04,2.25E+04,1.95E+04,1.20E+04,0.00E+00,1.00E+00
7,4,5.04E+01,4.74E+01,2.85E+01,4.62E+05,1.13E+05,2.37E+04,1.87E+04,1.76E+04,2.93E+04,2.11E+04,1.63E+04,0.00E+00,1.00E+00
7,5,2.86E+01,5.42E+01,3.52E+01,8.78E+05,1.98E+05,5.00E+04,3.09E+04,2.23E+04,2.69E+04,2.48E+04,1.66E+04,1.00E+00,1.00E+00
7,6,6.09E+01,6.16E+01,4.16E+01,4.16E+05,8.16E+04,2.10E+04,1.66E+04,1.67E+04,2.52E+04,1.65E+04,1.27E+04,1.00E+00,0.00E+00
7,7,3.93E+01,4.28E+01,4.22E+01,5.29E+05,1.23E+05,2.69E+04,2.15E+04,2.14E+04,3.63E+04,2.46E+04,1.77E+04,1.00E+00,1.00E+00
7,8,4.80E+01,4.21E+01,3.38E+01,5.33E+05,1.11E+05,2.39E+04,1.70E+04,1.72E+04,3.24E+04,2.36E+04,1.73E+04,1.00E+00,0.00E+00
7,9,5.41E+01,5.43E+01,3.66E+01,2.65E+05,7.51E+04,1.94E+04,1.55E+04,2.00E+04,3.15E+04,2.36E+04,1.64E+04,1.00E+00,0.00E+00
8,0,5.07E+01,4.98E+01,2.25E+01,7.92E+05,2.12E+05,4.22E+04,2.77E+04,2.32E+04,1.95E+04,1.43E+04,1.09E+04,0.00E+00,0.00E+00
8,1,5.00E+01,6.44E+01,4.97E+01,6.07E+05,1.61E+05,3.69E+04,2.65E+04,1.87E+04,1.81E+04,1.15E+04,8.22E+03,0.00E+00,0.00E+00
8,2,5.29E+01,4.99E+01,4.08E+01,6.19E+05,1.70E+05,3.73E+04,2.45E+04,1.58E+04,1.56E+04,1.15E+04,6.62E+03,0.00E+00,0.00E+00
8,3,5.36E+01,5.43E+01,2.91E+01,6.77E+05,1.74E+05,3.35E+04,2.00E+04,1.86E+04,1.82E+04,1.18E+04,8.10E+03,0.00E+00,0.00E+00
8,4,3.44E+01,5.26E+01,3.52E+01,9.56E+05,3.25E+05,7.36E+04,4.46E+04,3.33E+04,2.49E+04,1.34E+04,7.60E+03,0.00E+00,1.00E+00
8,5,3.33E+01,4.61E+01,2.87E+01,1.07E+06,2.70E+05,8.40E+04,6.06E+04,3.63E+04,3.17E+04,1.73E+04,9.37E+03,1.00E+00,1.00E+00
8,6,4.78E+01,4.62E+01,3.64E+01,8.41E+05,2.16E+05,4.12E+04,2.83E+04,1.97E+04,1.92E+04,1.24E+04,9.09E+03,1.00E+00,0.00E+00
8,7,5.09E+01,4.84E+01,4.42E+01,7.87E+05,2.04E+05,3.44E+04,2.63E+04,2.05E+04,1.91E+04,1.48E+04,8.96E+03,1.00E+00,0.00E+00
8,8,3.69E+01,4.79E+01,2.76E+01,9.71E+05,2.98E+05,8.56E+04,7.20E+04,3.75E+04,4.57E+04,3.39E+04,1.68E+04,1.00E+00,1.00E+00
8,9,2.96E+01,3.97E+01,4.28E+01,9.95E+05,3.36E+05,7.72E+04,5.43E+04,4.08E+04,3.05E+04,1.48E+04,8.34E+03,1.00E+00,1.00E+00
9,0,3.50E+01,5.78E+01,2.09E+01,1.01E+06,2.33E+05,5.16E+04,8.27E+04,2.52E+04,6.24E+04,3.64E+04,4.82E+03,0.00E+00,1.00E+00
9,1,5.81E+01,4.11E+01,3.37E+01,8.13E+05,1.00E+05,3.85E+04,3.98E+04,1.51E+04,7.30E+04,1.49E+04,2.90E+03,0.00E+00,0.00E+00
9,2,3.98E+01,5.66E+01,2.42E+01,8.48E+05,1.61E+05,5.01E+04,4.43E+04,1.74E+04,3.30E+04,2.16E+04,3.26E+03,0.00E+00,0.00E+00
9,3,4.27E+01,6.22E+01,3.28E+01,9.06E+05,1.78E+05,5.16E+04,6.08E+04,1.66E+04,5.74E+04,2.67E+04,3.34E+03,0.00E+00,1.00E+00
9,4,3.89E+01,5.04E+01,4.68E+01,8.62E+05,1.59E+05,5.74E+04,4.68E+04,2.52E+04,5.21E+04,2.63E+04,3.78E+03,0.00E+00,1.00E+00
9,5,4.98E+01,4.10E+01,3.88E+01,9.35E+05,2.82E+05,7.05E+04,4.08E+04,2.86E+04,4.15E+04,5.41E+04,2.27E+04,1.00E+00,1.00E+00
9,6,2.96E+01,5.33E+01,1.65E+01,7.81E+05,1.93E+05,7.46E+04,4.41E+04,2.38E+04,2.59E+04,1.73E+04,3.85E+03,1.00E+00,0.00E+00
9,7,2.76E+01,4.84E+01,2.25E+01,7.33E+05,1.37E+05,3.77E+04,2.86E+04,1.48E+04,1.99E+04,1.82E+04,2.70E+03,1.00E+00,0.00E+00
9,8,5.55E+01,5.29E+01,2.96E+01,9.14E+05,1.99E+05,4.23E+04,2.59E+04,2.03E+04,3.68E+04,4.54E+04,1.76E+04,1.00E+00,1.00E+00
9,9,4.53E+01,4.66E+01,2.62E+01,8.73E+05,1.62E+05,4.25E+04,3.79E+04,1.53E+04,5.65E+04,2.23E+04,3.00E+03,1.00E+00,0.00E+00
